username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
seancardo;2017-09-23 14:56;2;1;"HT: Burnley 0-0 Huddersfield Everton 0-0 Bournemouth Swansea 0-1 Watford #BURHUD #EVEBOU #SWAWAT #seanknows pic.twitter.com/8qr2I8czdn";;;#BURHUD #EVEBOU #SWAWAT #seanknows;"911605075440803841";https://twitter.com/seancardo/status/911605075440803841
MatchFitHQ;2017-09-23 14:55;0;0;"HT in the #PremierLeague #WHUTOT 2-3 FT #BURHUD 0-0 HT #EVEBOU 0-0 HT #MCICRY 1-0 HT #SOUMUN 0-1 HT #STKCHE 0-2 HT #SWAWAT 0-1 HT pic.twitter.com/tipTPPVBAg";;;#PremierLeague #WHUTOT #BURHUD #EVEBOU #MCICRY #SOUMUN #STKCHE #SWAWAT;"911604956901330945";https://twitter.com/MatchFitHQ/status/911604956901330945
HT_ThisMinute;2017-09-23 14:55;0;0;"2nd Half bet on ScottArfield to score, odds 10/1 http:// bit.ly/2xpQTij #BURHUD #ScottArfield";;;#BURHUD #ScottArfield;"911604844653350912";https://twitter.com/HT_ThisMinute/status/911604844653350912
burcheroony;2017-09-23 14:54;0;0;"#burhud it's got 0-0 written all over it #glamourtie come on Burnley.";;;#burhud #glamourtie;"911604704626569216";https://twitter.com/burcheroony/status/911604704626569216
HT_ThisMinute;2017-09-23 14:54;0;0;"Half time Burnley 0 v Huddersfield Town 0 get a inplay bet on see options here http:// bit.ly/2xq5zy9 #BURHUD #htafc";;;#BURHUD #htafc;"911604651132358656";https://twitter.com/HT_ThisMinute/status/911604651132358656
BURN_ThisMinute;2017-09-23 14:54;0;0;"2nd Half bet on TomInce to score, odds 6/1 http:// bit.ly/2xqFdfk #BURHUD #TomInce";;;#BURHUD #TomInce;"911604591682293760";https://twitter.com/BURN_ThisMinute/status/911604591682293760
SkySport;2017-09-23 14:53;2;6;"#Premier ,risultati dopo 45' #EVEBOU 0-0 #SOUMUN 0-1 #MCICRY 1-0 #SWAWAT 0-1 #BURHUD 0-0 #STKCHE 0-2 #SkySport 3 @MassMarianella #SkyPremier pic.twitter.com/JJcP0EqNdN";;@MassMarianella;#Premier #EVEBOU #SOUMUN #MCICRY #SWAWAT #BURHUD #STKCHE #SkySport #SkyPremier;"911604563936993285";https://twitter.com/SkySport/status/911604563936993285
Nataly_Antar;2017-09-23 14:52;0;0;"The Bumble bee ! #BURHUD";;;#BURHUD;"911604302522851328";https://twitter.com/Nataly_Antar/status/911604302522851328
allscores1;2017-09-23 14:52;0;0;"#BPL HT Results: #BURHUD 0-0 #EVEBOU 0-0 #MCICRY 1-0 #SOUMUN 0-1 #STOCHE 0-2 #SWAWAT 0-1 https:// goo.gl/1p0M1h";;;#BPL #BURHUD #EVEBOU #MCICRY #SOUMUN #STOCHE #SWAWAT;"911604192275464194";https://twitter.com/allscores1/status/911604192275464194
ramaditya1821;2017-09-23 14:52;0;0;"HT: Swansea City 0-1 Watford (Gray) | Burnley 0-0 Huddersfield Town | Everton 0-0 Bournemouth. #SWAWAT #BURHUD #EVEBOU";;;#SWAWAT #BURHUD #EVEBOU;"911604094812413954";https://twitter.com/ramaditya1821/status/911604094812413954
