username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hyperomar;2017-09-23 18:32;0;5;"So a 4-3 aggregate win for Leicester this week. Good tie #LEILIV";;;#LEILIV;"911659514818154502";https://twitter.com/hyperomar/status/911659514818154502
D70om10;2017-09-23 18:32;0;0;"من وجهت نظري افضل رجل المباراة اليوم هو مينيوليه.. #ليفربول_لستر_ستي #LEILIV";;;# #LEILIV;"911659508367273984";https://twitter.com/D70om10/status/911659508367273984
ThisKCsef;2017-09-23 18:32;0;0;"Unku Vardy wanted to break my heart again but we hit em like bangdadadang #LEILIV";;;#LEILIV;"911659494152790016";https://twitter.com/ThisKCsef/status/911659494152790016
ThorsteinR;2017-09-23 18:32;0;0;"GREAT entertainment! good result! #leiliv #lovefootball #lfc";;;#leiliv #lovefootball #lfc;"911659488049950721";https://twitter.com/ThorsteinR/status/911659488049950721
priyul1738;2017-09-23 18:32;0;0;"Well played Liverpool, unfortunate penalty which was saved, but it happens. Good game #LEILIV pic.twitter.com/xH7MZZZAGu";;;#LEILIV;"911659483637649413";https://twitter.com/priyul1738/status/911659483637649413
LeicsEvents;2017-09-23 18:32;0;1;"We're not aware of any road issues in or around #Leicester . Wishing all @LCFC and @LFC fans a safe journey home. #LeiLiv";;@LCFC @LFC;#Leicester #LeiLiv;"911659483197329408";https://twitter.com/LeicsEvents/status/911659483197329408
paddysatch;2017-09-23 18:32;0;4;"You can shove that #CarabaoCup up your arse #LEILIV";;;#CarabaoCup #LEILIV;"911659477874741248";https://twitter.com/paddysatch/status/911659477874741248
IamBikramPaul;2017-09-23 18:32;0;0;"Mignolet Save Saved Liverpool day! #LFC #LEILIV";;;#LFC #LEILIV;"911659473130762240";https://twitter.com/IamBikramPaul/status/911659473130762240
LFCphoto;2017-09-23 18:32;41;71;"Mood. #LFC #LEILIV #Klopp pic.twitter.com/a2VwcnUk3Y";;;#LFC #LEILIV #Klopp;"911659465610530817";https://twitter.com/LFCphoto/status/911659465610530817
ItsREDTv;2017-09-23 18:32;1;11;"Henderson scored the crucial 3rd goal though Vardy made it interesting (he also missed a pen). Klopp's men hung on to win 3-2 #LEILIV #EPL pic.twitter.com/ZcgAJMdYR7";;;#LEILIV #EPL;"911659463152717824";https://twitter.com/ItsREDTv/status/911659463152717824
adsannas;2017-09-23 18:32;0;0;"DRAMA #LEILIV";;;#LEILIV;"911659462187823104";https://twitter.com/adsannas/status/911659462187823104
xFaynts;2017-09-23 18:32;1;4;"Leicester 2 Liverpool 3, good game, but even better news.... MANE IS BACK :) #LEILIV";;;#LEILIV;"911659454030106624";https://twitter.com/xFaynts/status/911659454030106624
